datetime,year,lng,lat,shooting_type
2021-08-06T23:20:00Z,2021,-73.9428869719999,40.8083832030001,nonlethal
2021-01-12T01:30:00Z,2021,-73.942286832,40.8006208190001,nonlethal
2021-02-09T19:50:00Z,2021,-73.753327365,40.696968027,nonlethal
2021-04-25T00:55:00Z,2021,-73.9523962929999,40.664606373,nonlethal
2021-06-24T05:07:00Z,2021,-73.993500894,40.754699165,nonlethal
2021-07-22T06:32:00Z,2021,-73.9228273799999,40.864758883,lethal
2021-12-02T00:38:00Z,2021,-73.9488901139999,40.644433463,nonlethal
2021-05-25T18:01:00Z,2021,-73.893039857,40.8469796270001,lethal
2021-09-08T19:31:00Z,2021,-73.9458456259999,40.6749869700001,nonlethal
2021-08-16T00:30:00Z,2021,-73.889484104,40.6767774040001,nonlethal
2021-03-25T19:50:00Z,2021,-73.905767065,40.6882046640001,nonlethal
2021-05-02T20:22:00Z,2021,-74.1156777149999,40.6372227380001,nonlethal
2021-07-02T02:19:00Z,2021,-73.9418267469999,40.694728158,nonlethal
2021-12-17T14:42:00Z,2021,-73.7914485699999,40.6892180580001,nonlethal
2021-09-15T01:13:00Z,2021,-73.9376627629999,40.8053640440001,lethal
2021-12-12T10:09:00Z,2021,-73.911283711,40.6775538360001,lethal
2021-08-28T08:04:00Z,2021,-73.909996425,40.6376409550001,nonlethal
2021-08-02T10:39:00Z,2021,-73.752678885,40.6073518750001,nonlethal
2021-05-22T18:39:00Z,2021,-73.883822395,40.851507714,nonlethal
2021-04-27T18:15:00Z,2021,-73.866200939,40.8820234070001,nonlethal
2021-09-06T07:49:00Z,2021,-73.806670844,40.6661912210001,lethal
2021-06-11T05:17:00Z,2021,-73.892579148,40.677908438,lethal
2021-04-08T18:15:00Z,2021,-73.99986434,40.730745906,nonlethal
2021-05-01T19:35:00Z,2021,-73.905155764,40.65913148,nonlethal
2021-04-05T22:10:00Z,2021,-73.92785342,40.8374989810001,nonlethal
2021-06-22T16:11:00Z,2021,-74.065859254,40.605458151,nonlethal
2021-10-12T20:43:00Z,2021,-73.896971106,40.670421957,lethal
2021-09-06T20:50:00Z,2021,-73.8616300159999,40.8784910870001,nonlethal
2021-06-13T23:15:00Z,2021,-73.93565297,40.8442089220001,nonlethal
2021-12-27T15:48:00Z,2021,-73.911539907,40.655639713,lethal
2021-09-16T05:15:00Z,2021,-73.937710613,40.6963289490001,lethal
2021-12-01T22:00:00Z,2021,-73.911328663,40.836266064,nonlethal
2021-08-05T23:30:00Z,2021,-73.904049061,40.6567645590001,nonlethal
2021-08-05T08:57:00Z,2021,-73.806333175,40.7017931820001,nonlethal
2021-05-02T18:18:00Z,2021,-73.943573426,40.786944463,nonlethal
2021-08-04T13:40:00Z,2021,-73.934758285,40.8167255920001,nonlethal
2021-09-12T22:30:00Z,2021,-73.960771324,40.661741239,nonlethal
2021-05-02T18:18:00Z,2021,-73.943573426,40.786944463,nonlethal
2021-04-05T23:15:00Z,2021,-73.905871605,40.667789106,lethal
2021-04-06T01:20:00Z,2021,-73.9216057359999,40.701901966,nonlethal
2021-12-22T05:35:00Z,2021,-73.91316775,40.8254642650001,lethal
2021-09-06T03:52:00Z,2021,-73.8200576949999,40.6958675320001,nonlethal
2021-03-08T13:00:00Z,2021,-73.9497194209999,40.7919976160001,nonlethal
2021-03-09T15:30:00Z,2021,-73.874879189,40.8306412970001,lethal
2021-12-18T21:00:00Z,2021,-73.905589403,40.854431478,nonlethal
2021-09-16T21:11:00Z,2021,-73.86527957,40.885200688,lethal
2021-08-19T20:32:00Z,2021,-73.926797743,40.6703624580001,lethal
2021-09-08T23:48:00Z,2021,-73.8992503169999,40.8607169750001,nonlethal
2021-03-30T22:23:00Z,2021,-73.827126059,40.830722328,lethal
2021-03-14T05:00:00Z,2021,-73.9196277519999,40.8378421210001,nonlethal
2021-02-07T01:23:00Z,2021,-73.928717513,40.6887399300001,lethal
2021-06-14T21:20:00Z,2021,-73.768185063,40.711565433,nonlethal
2021-09-20T14:02:00Z,2021,-73.9402809869999,40.717448534,nonlethal
2021-04-04T21:05:00Z,2021,-73.893034331,40.850415995,lethal
2021-01-05T02:47:00Z,2021,-73.90447556,40.6584337420001,nonlethal
2021-05-23T03:50:00Z,2021,-73.892445447,40.8166993770001,nonlethal
2021-09-30T07:30:00Z,2021,-73.797795845,40.6912907130001,nonlethal
2021-04-24T23:31:00Z,2021,-74.006365205,40.682934679,nonlethal
2021-05-26T16:46:00Z,2021,-73.944999678,40.7871345390001,nonlethal
2021-07-16T18:15:00Z,2021,-73.759195838,40.607821351,nonlethal
2021-05-22T07:30:00Z,2021,-73.948639667,40.6421030280001,nonlethal
2021-04-23T21:19:00Z,2021,-73.907529526,40.6627675030001,nonlethal
2021-03-02T02:00:00Z,2021,-73.925289503,40.6716240860001,nonlethal
2021-08-19T20:32:00Z,2021,-73.926797743,40.6703624580001,nonlethal
2021-07-18T23:50:00Z,2021,-73.7579546979999,40.672011309,nonlethal
2021-01-18T10:04:00Z,2021,-73.950445696,40.6847439700001,lethal
2021-11-02T09:06:00Z,2021,-73.890683006,40.8647246740001,nonlethal
2021-05-28T16:14:00Z,2021,-73.959951055,40.6651938890001,nonlethal
2021-08-12T17:05:00Z,2021,-73.9753819329999,40.7245895300001,nonlethal
2021-02-15T07:10:00Z,2021,-73.901189919,40.847291559,nonlethal
2021-10-17T00:57:00Z,2021,-73.850822533,40.8795864790001,nonlethal
2021-05-30T10:54:00Z,2021,-73.9370012219999,40.802091971,lethal
2021-02-15T15:00:00Z,2021,-73.869089226,40.8366979460001,nonlethal
2021-07-31T23:10:00Z,2021,-73.931259031,40.850222784,nonlethal
2021-10-15T16:17:00Z,2021,-73.8665360429999,40.823180032,nonlethal
2021-08-28T19:54:00Z,2021,-73.891382086,40.8617089090001,lethal
2021-04-12T08:15:00Z,2021,-73.954370099,40.7721633470001,nonlethal
2021-06-28T21:46:00Z,2021,-74.0085338339999,40.6399320740001,nonlethal
2021-09-16T23:51:00Z,2021,-73.939771237,40.6987125050001,nonlethal
2021-08-17T22:20:00Z,2021,-73.906516063,40.6683495660001,nonlethal
2021-07-11T03:58:00Z,2021,-73.9188063569999,40.8386896610001,nonlethal
2021-04-08T23:51:00Z,2021,-73.858030813,40.8773339430001,nonlethal
2021-06-29T19:14:00Z,2021,-73.864497098,40.6906584700001,nonlethal
2021-05-30T19:42:00Z,2021,-73.8602998809999,40.8902504860001,nonlethal
2021-05-18T23:27:00Z,2021,-73.923130702,40.8087779430001,nonlethal
2021-10-15T20:30:00Z,2021,-73.9865854239999,40.7180121920001,nonlethal
2021-05-11T17:19:00Z,2021,-73.941743979,40.7894577280001,nonlethal
2021-04-17T21:14:00Z,2021,-73.919048996,40.6363027370001,nonlethal
2021-12-30T03:59:00Z,2021,-73.846967517,40.7209661910001,nonlethal
2021-09-24T00:11:00Z,2021,-73.87017045,40.8233872910001,nonlethal
2021-10-02T11:55:00Z,2021,-73.943423246,40.7554430050001,nonlethal
2021-03-09T22:09:00Z,2021,-73.7533773549999,40.7068520770001,lethal
2021-07-04T00:38:00Z,2021,-73.894666205,40.8288083840001,nonlethal
2021-07-05T04:45:00Z,2021,-73.914239031,40.8381182000001,nonlethal
2021-03-17T22:09:00Z,2021,-73.8738322,40.877788706,lethal
2021-01-19T11:00:00Z,2021,-73.9993858989999,40.5739063240001,nonlethal
2021-09-04T20:18:00Z,2021,-73.948185286,40.8142676480001,lethal
2021-12-11T22:56:00Z,2021,-73.904017601,40.8364468510001,lethal
2021-09-29T12:50:00Z,2021,-73.882203096,40.853506962,nonlethal
2021-07-15T13:40:00Z,2021,-73.861762856,40.8824298810001,nonlethal
2021-06-05T17:50:00Z,2021,-73.914721185,40.8397681290001,nonlethal
2021-01-27T00:11:00Z,2021,-73.924494618,40.841989922,nonlethal
2021-08-17T13:00:00Z,2021,-73.885426178,40.8122928240001,nonlethal
2021-10-31T03:52:00Z,2021,-73.9391495899999,40.8266336820001,lethal
2021-06-19T23:29:00Z,2021,-73.921788291,40.6600387900001,nonlethal
2021-09-26T16:20:00Z,2021,-73.763922258,40.596259048,lethal
2021-09-01T02:24:00Z,2021,-73.907876929,40.596519508,nonlethal
2021-04-08T18:15:00Z,2021,-73.99986434,40.730745906,nonlethal
2021-07-30T17:55:00Z,2021,-73.910207563,40.810088815,nonlethal
2021-11-13T02:19:00Z,2021,-73.788963197,40.7578683620001,nonlethal
2021-08-13T01:00:00Z,2021,-73.829253066,40.7608500490001,lethal
2021-12-01T15:19:00Z,2021,-73.871603151,40.685704066,nonlethal
2021-03-13T03:50:00Z,2021,-73.936161591,40.7021195610001,nonlethal
2021-02-03T21:45:00Z,2021,-73.9164772519999,40.8055043470001,lethal
2021-02-16T20:48:00Z,2021,-73.9143035179999,40.84416759,nonlethal
2021-06-13T02:55:00Z,2021,-73.9490300849999,40.8008463210001,nonlethal
2021-08-06T23:46:00Z,2021,-73.9763360709999,40.577587416,lethal
2021-02-07T14:49:00Z,2021,-73.7523739499999,40.6944188250001,lethal
2021-01-04T20:14:00Z,2021,-73.919705132,40.662930353,nonlethal
2021-08-25T15:50:00Z,2021,-74.078351189,40.6382423550001,nonlethal
2021-08-26T02:00:00Z,2021,-73.939377513,40.8263236490001,lethal
2021-07-21T13:44:00Z,2021,-73.847652954,40.8866801140001,nonlethal
2021-10-28T12:38:00Z,2021,-73.898520686,40.827132073,nonlethal
2021-12-05T22:16:00Z,2021,-73.915296627,40.8419698110001,nonlethal
2021-05-25T19:27:00Z,2021,-73.93873725,40.795694944,nonlethal
2021-11-06T11:58:00Z,2021,-73.867778443,40.6779649550001,nonlethal
